id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,last_updated
570017,20170731,1,900000000000207008,127282007,en,900000000000013009,Fracture of clivus of occipital bone,900000000000448009,2025-11-24 11:08:13
571018,20020131,1,900000000000207008,127283002,en,900000000000013009,Fracture of ethmoid bone,900000000000020002,2025-11-24 11:08:13
571018,20170731,1,900000000000207008,127283002,en,900000000000013009,Fracture of ethmoid bone,900000000000448009,2025-11-24 11:08:13
572013,20020131,1,900000000000207008,127284008,en,900000000000013009,Fracture of orbital plate of ethmoid bone,900000000000020002,2025-11-24 11:08:13
572013,20170731,1,900000000000207008,127284008,en,900000000000013009,Fracture of orbital plate of ethmoid bone,900000000000448009,2025-11-24 11:08:13
573015,20020131,1,900000000000207008,127285009,en,900000000000013009,Fracture of lacrimal bone,900000000000020002,2025-11-24 11:08:13
573015,20170731,1,900000000000207008,127285009,en,900000000000013009,Fracture of lacrimal bone,900000000000448009,2025-11-24 11:08:13
574014,20020131,1,900000000000207008,127286005,en,900000000000013009,Fracture of upper end of humerus,900000000000020002,2025-11-24 11:08:13
574014,20170731,1,900000000000207008,127286005,en,900000000000013009,Fracture of upper end of humerus,900000000000448009,2025-11-24 11:08:13
575010,20020131,1,900000000000207008,127287001,en,900000000000013009,Intertrochanteric fracture,900000000000020002,2025-11-24 11:08:13
575010,20170731,1,900000000000207008,127287001,en,900000000000013009,Intertrochanteric fracture,900000000000448009,2025-11-24 11:08:13
576011,20020131,1,900000000000207008,127288006,en,900000000000013009,Closed medial dislocation of subtalar joint,900000000000020002,2025-11-24 11:08:13
576011,20170731,1,900000000000207008,127288006,en,900000000000013009,Closed medial dislocation of subtalar joint,900000000000448009,2025-11-24 11:08:13
577019,20020131,1,900000000000207008,127289003,en,900000000000013009,Closed lateral dislocation of subtalar joint,900000000000020002,2025-11-24 11:08:13
577019,20170731,1,900000000000207008,127289003,en,900000000000013009,Closed lateral dislocation of subtalar joint,900000000000448009,2025-11-24 11:08:13
578012,20020131,1,900000000000207008,127290007,en,900000000000013009,Open medial dislocation of subtalar joint,900000000000020002,2025-11-24 11:08:13
578012,20170731,1,900000000000207008,127290007,en,900000000000013009,Open medial dislocation of subtalar joint,900000000000448009,2025-11-24 11:08:13
579016,20020131,1,900000000000207008,127291006,en,900000000000013009,Open lateral dislocation of subtalar joint,900000000000020002,2025-11-24 11:08:13
579016,20170731,1,900000000000207008,127291006,en,900000000000013009,Open lateral dislocation of subtalar joint,900000000000448009,2025-11-24 11:08:13
580018,20020131,1,900000000000207008,127292004,en,900000000000013009,Sprain of anterior cruciate ligament of knee,900000000000020002,2025-11-24 11:08:13
580018,20170731,1,900000000000207008,127292004,en,900000000000013009,Sprain of anterior cruciate ligament of knee,900000000000448009,2025-11-24 11:08:13
581019,20020131,1,900000000000207008,127293009,en,900000000000013009,Sprain of posterior cruciate ligament of knee,900000000000020002,2025-11-24 11:08:13
581019,20170731,1,900000000000207008,127293009,en,900000000000013009,Sprain of posterior cruciate ligament of knee,900000000000448009,2025-11-24 11:08:13
582014,20020131,0,900000000000207008,127294003,en,900000000000013009,Brain injury,900000000000020002,2025-11-24 11:08:13
583016,20020131,1,900000000000207008,127295002,en,900000000000013009,Traumatic brain injury,900000000000020002,2025-11-24 11:08:13
583016,20170731,1,900000000000207008,127295002,en,900000000000013009,Traumatic brain injury,900000000000448009,2025-11-24 11:08:13
584010,20020131,1,900000000000207008,127296001,en,900000000000013009,Intracranial injury,900000000000020002,2025-11-24 11:08:13
584010,20170731,1,900000000000207008,127296001,en,900000000000013009,Intracranial injury,900000000000448009,2025-11-24 11:08:13
585011,20020131,1,900000000000207008,127297005,en,900000000000013009,Intracranial injury with loss of consciousness,900000000000020002,2025-11-24 11:08:13
585011,20170731,1,900000000000207008,127297005,en,900000000000013009,Intracranial injury with loss of consciousness,900000000000448009,2025-11-24 11:08:13
586012,20020131,1,900000000000207008,127298000,en,900000000000013009,Traumatic brain injury with loss of consciousness,900000000000020002,2025-11-24 11:08:13
586012,20170731,1,900000000000207008,127298000,en,900000000000013009,Traumatic brain injury with loss of consciousness,900000000000448009,2025-11-24 11:08:13
587015,20020131,1,900000000000207008,127299008,en,900000000000013009,Traumatic brain injury with brief loss of consciousness,900000000000020002,2025-11-24 11:08:13
587015,20170731,1,900000000000207008,127299008,en,900000000000013009,Traumatic brain injury with brief loss of consciousness,900000000000448009,2025-11-24 11:08:13
588013,20020131,1,900000000000207008,127300000,en,900000000000013009,Traumatic brain injury with moderate loss of consciousness,900000000000020002,2025-11-24 11:08:13
588013,20170731,1,900000000000207008,127300000,en,900000000000013009,Traumatic brain injury with moderate loss of consciousness,900000000000448009,2025-11-24 11:08:13
589017,20020131,1,900000000000207008,127301001,en,900000000000013009,Traumatic brain injury with prolonged loss of consciousness,900000000000020002,2025-11-24 11:08:13
589017,20170731,1,900000000000207008,127301001,en,900000000000013009,Traumatic brain injury with prolonged loss of consciousness,900000000000448009,2025-11-24 11:08:13
590014,20020131,1,900000000000207008,127302008,en,900000000000013009,Traumatic brain injury with no loss of consciousness,900000000000020002,2025-11-24 11:08:13
590014,20170731,1,900000000000207008,127302008,en,900000000000013009,Traumatic brain injury with no loss of consciousness,900000000000448009,2025-11-24 11:08:13
591013,20020131,1,900000000000207008,127303003,en,900000000000013009,Cortex laceration,900000000000020002,2025-11-24 11:08:13
591013,20170731,1,900000000000207008,127303003,en,900000000000013009,Cortex laceration,900000000000448009,2025-11-24 11:08:13
592018,20020131,1,900000000000207008,127304009,en,900000000000013009,Cerebellar contusion,900000000000020002,2025-11-24 11:08:13
592018,20170731,1,900000000000207008,127304009,en,900000000000013009,Cerebellar contusion,900000000000448009,2025-11-24 11:08:13
593011,20020131,1,900000000000207008,127305005,en,900000000000013009,Brain stem contusion,900000000000020002,2025-11-24 11:08:13
593011,20170731,1,900000000000207008,127305005,en,900000000000013009,Brain stem contusion,900000000000448009,2025-11-24 11:08:13
594017,20020131,1,900000000000207008,127306006,en,900000000000013009,Cerebellar laceration,900000000000020002,2025-11-24 11:08:13
594017,20170731,1,900000000000207008,127306006,en,900000000000013009,Cerebellar laceration,900000000000448009,2025-11-24 11:08:13
595016,20020131,1,900000000000207008,127307002,en,900000000000013009,Brain stem laceration,900000000000020002,2025-11-24 11:08:13
595016,20170731,1,900000000000207008,127307002,en,900000000000013009,Brain stem laceration,900000000000448009,2025-11-24 11:08:13
596015,20020131,1,900000000000207008,127308007,en,900000000000013009,Intracranial hemorrhage following injury with loss of consciousness,900000000000020002,2025-11-24 11:08:13
596015,20170731,1,900000000000207008,127308007,en,900000000000013009,Intracranial hemorrhage following injury with loss of consciousness,900000000000448009,2025-11-24 11:08:13
597012,20020131,1,900000000000207008,127309004,en,900000000000013009,Intracranial hemorrhage following injury with brief loss of consciousness,900000000000020002,2025-11-24 11:08:13
597012,20170731,1,900000000000207008,127309004,en,900000000000013009,Intracranial hemorrhage following injury with brief loss of consciousness,900000000000448009,2025-11-24 11:08:13
598019,20020131,1,900000000000207008,127310009,en,900000000000013009,Intracranial hemorrhage following injury with moderate loss of consciousness,900000000000020002,2025-11-24 11:08:13
598019,20170731,1,900000000000207008,127310009,en,900000000000013009,Intracranial hemorrhage following injury with moderate loss of consciousness,900000000000448009,2025-11-24 11:08:13
599010,20020131,1,900000000000207008,127311008,en,900000000000013009,Intracranial hemorrhage following injury with prolonged loss of consciousness AND return to pre-existing conscious level,900000000000020002,2025-11-24 11:08:13
600013,20020131,1,900000000000207008,127312001,en,900000000000013009,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,900000000000020002,2025-11-24 11:08:13
600013,20170731,1,900000000000207008,127312001,en,900000000000013009,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,900000000000448009,2025-11-24 11:08:13
601012,20020131,1,900000000000207008,127313006,en,900000000000013009,Injury of bile duct,900000000000020002,2025-11-24 11:08:13
601012,20170731,1,900000000000207008,127313006,en,900000000000013009,Injury of bile duct,900000000000448009,2025-11-24 11:08:13
602017,20020131,1,900000000000207008,127314000,en,900000000000013009,Open wound of chest wall,900000000000020002,2025-11-24 11:08:13
602017,20170731,1,900000000000207008,127314000,en,900000000000013009,Open wound of chest wall,900000000000448009,2025-11-24 11:08:13
603010,20020131,1,900000000000207008,127315004,en,900000000000013009,Sucking chest wound,900000000000020002,2025-11-24 11:08:13
603010,20170731,1,900000000000207008,127315004,en,900000000000013009,Sucking chest wound,900000000000448009,2025-11-24 11:08:13
604016,20020131,1,900000000000207008,127316003,en,900000000000013009,Injury of right colic artery,900000000000020002,2025-11-24 11:08:13
604016,20170731,1,900000000000207008,127316003,en,900000000000013009,Injury of right colic artery,900000000000448009,2025-11-24 11:08:13
605015,20020131,1,900000000000207008,127317007,en,900000000000013009,Injury of middle colic artery,900000000000020002,2025-11-24 11:08:13
605015,20170731,1,900000000000207008,127317007,en,900000000000013009,Injury of middle colic artery,900000000000448009,2025-11-24 11:08:13
606019,20020131,1,900000000000207008,127318002,en,900000000000013009,Injury of inferior pancreaticoduodenal artery,900000000000020002,2025-11-24 11:08:13
606019,20170731,1,900000000000207008,127318002,en,900000000000013009,Injury of inferior pancreaticoduodenal artery,900000000000448009,2025-11-24 11:08:13
607011,20020131,1,900000000000207008,127319005,en,900000000000013009,Anemia due to alloimmune destruction of transfused red cells,900000000000020002,2025-11-24 11:08:13
